Book Name,Book Author,Quarter
"The Name of the Wind", "Patrick Rothfuss", "Spring 2025"
"The Priory of the Orange Tree", "Samantha Shannon", "Spring 2025"
"Fourth Wing", "Rebeca Yarros", "Spring 2025"
"Blackfish City", "Sam J. Miller", "Winter 2025"
"Red Rising", "Pierce Brown", "Fall 2024"
"Circe", "Madeline Miller", "Fall 2024"
"The Three Body Problem", "Liu Cixin", "Spring 2024"
"Warbreaker", "Brandon Sanderson", "Winter 2024"
"Station Eleven", "Emily St. John Mandel", "Winter 2024"
"This is How you Lose the Time War", "Amal El-Mohtar and Max Gladstone", "Fall 2023"
"Annihilation", "Jeff VenderMeer", "Spring 2023"
"City of Strife", "Claudie Arseneault", "Spring 2023"
"The Left Hand of Darkness", "Ursula K. Le Guin", "Winter 2023"
"Gideon the Ninth", "Tamsyn Muir", "Winter 2023"
"Hitchhiker's Guide to the Galaxy", "Douglas Adams", "Fall 2022"
"American Gods", "Neil Gaiman", "Fall 2022"
"Exhalation", "Ted Chiang", "Fall 2022"
"Brave New World", "Aldous Huxley", "Summer 2022"
"Haunting Of Hill House", "Shirley Jackson", "Summer 2022"
"Exhalation (Anthology)", "Ted Chiang", "Summer 2022"
"Six Of Crows", "Leigh Bardugo", "Spring 2022"
"Howl’s Moving Castle", "Diana Wynne Jones", "Winter 2022"
"Never Let Me Go", "Kazuo Ishiguro", "Winter 2022"
"Starless Sea", "Erin Morgenstern", "Fall 2021"
"Do Androids Dream of Electric Sheep?", "Philip K. Dick", "Fall 2021"
"Foundation Series (#1-3)", "Isaac Asimov", "Summer 2021"
"The Rook", "Daniel O'Malley", "Spring 2021"
"Ubik", "Philip K. Dick", "Spring 2021"
"The Wind-Up Bird Chronicle", "Haruki Murakami", "Spring 2021"
"The Lies of Locke Lamora", "Scott Lynch", "Winter 2020"
"The Very Hungry Caterpillar", "Eric Carle", "Fall 2020"
"Leviathan Wakes", "James S. A. Corey", "Fall 2020"
"The Poppy War", "R. F. Kuang", "Spring 2020"
"The Fifth Season", "N. K. Jemisin", "Winter 2020"
"Red Rising", "Pierce Brown", "Fall 2019"
"The Name of the Wind II (Electric Bungaloo)", "Patrick Rothfuss", "Fall 2019"
"Magician’s Apprintace", "Raymond E. Feist", "Spring 2019"
"World War Z", "Max Brooks", "Spring 2019"
"The Princess Bride", "William Golding", "Winter 2019"
"Bannerless", "Carrie Vaughn", "Winter 2019"
"Jurastic Park", "Michael Crichton", "Fall 2018"
"The Lost Gate", "Orson Scott Card", "Fall 2018"
"The Flight Of The Silvers", "Daniel Price", "Fall 2018"
"Stormlight Series #1-2", "Brandon Sanderson", "Spring/Summer 2018"
"Sirens Of A Titan", "Kurt Vonnegut", "Spring 2018"
"Good Omens", "Neil Gaiman & Terry Pratchett", "Spring 2018"
"Ancillary Justice", "Ann Leckie", "Winter 2017"
"The Stone In The Skull", "Elizabeth Bear", "Winter 2017"
"Cartographer Wasps and the Anarchist Bees", "E. Lily Yu", "Fall 2017"
"The Night Circus", "Erin Morgenstern", "Fall 2017"
"The Last Unicorn", "Peter S. Beagle", "Winter 2017"
"The Man In The High Castle", "Philip K. Dick", "Winter 2017"
"Howl’s Moving Castle", "Diana Wynne Jones", "Fall 2016"
"Neuromancer", "William Gibson", "Fall 2016"
"Neverwhere", "Neil Gaiman", "Spring 2016"
"Lockdown", "Alexander Gordonsmith", "Spring 2016"
"Mistborn: The Final Empire", "Brandon Sanderson", "Winter 2016"
"Aeronaught’s Windlass (The Cinder Spire #1)", "Jim Butcher", "Winter 2016"
"Leviathan’s Wakes", "James S. A. Corey", "Winter 2016"
"Reaper Man", "Terry Pratchett", "Fall 2015"
"Artemis Fowl (books #1-3)", "Eoin Colfer", "Spring 2015"
"The Martian", "Andy Weir", "Spring 2015"
"The Graveyard Book", "Neil Gaiman", "Spring 2015"
"World War Z", "Max Brooks", "Spring 2015"
"California Bones", "Greg van Eekhout", "Spring 2015"
"The Lies Of Locke Lamora", "Scott Lynch", "Winter 2014"
"Foundation (Book #1)", "Isaac Asimov", "Winter 2014"
"The Left Hand of Darkness", "Ursula K. Le Guin", "Fall 2014"
"Wild Seed", "Octavia E. Butler", "Fall 2014"
"Hyperion", "Dan Simmons", "Fall 2014"
