,,,,,,,
,,,,,,,
,Fall 2025 Official Schedule,,,,,,
,Date,Week,Event,Event Staff,,Link to Event Doc,Event notes
,9/23,,Zombie Tag,Arya/Kabron/anyone else really,,,
,9/30,,Trivia Night,Primary: Kabron,,Jeopardy Fall '25,jeopardy
,10/7,,One-Shot Night,Arya/Kabron/anyone else really,,,
,10/14,,Open Board Gaming,Arya/Kabron/anyone else really,,,
,10/21,,Mask Taster,Arya/Kabron/anyone else really,,,
,10/28,,LARP,Arya/Kabron/anyone else really,,,
,11/4,,Open Board Gaming,Arya/Kabron/anyone else really,,,
,11/11,,Murder in the Coop,Arya/Kabron/anyone else really,,,
,11/18,,Open Board Gaming,Arya/Kabron/anyone else really,,,
,11/25,,Blind Slideshow Night,Primary: Arya,,Slideshow Night (25FA),
,12/2,,Open Board Gaming,Arya/Kabron/anyone else really,,,
